;city;PC6;Homes_Passed;ACTIVE_CUSTOMERS_Resi;ACTIVE_CUSTOMERS_Soho;;;;;
;DELFT;2614EJ;13;8;0;;;;;
;DELFT;2614EK;19;14;0;;;;;
;DELFT;2614EL;16;5;0;;;;;
;DELFT;2614EM;22;19;1;;;;;
;DELFT;2614ER;15;12;0;;;;;
;DELFT;2614ET;15;8;0;;;;;
;DELFT;2614EX;18;11;0;;;;;
;DELFT;2614GA;24;14;0;;;;;
;DELFT;2614GB;24;9;1;;;;;
;DELFT;2614GE;1;1;0;;;;;
;DELFT;2614GH;18;10;1;;;;;
;DELFT;2614GJ;8;5;0;;;;;
;DELFT;2614GN;22;16;0;;;;;
;DELFT;2614GP;14;8;2;;;;;
;DELFT;2614GS;17;9;3;;;;;
;DELFT;2614GV;9;3;0;;;;;
;DELFT;2614GX;20;9;1;;;;;
;DELFT;2614GZ;20;5;0;;;;;
;DELFT;2614HB;8;6;0;;;;;
;DELFT;2614HE;70;43;3;;;;;
;DELFT;2614HH;8;5;0;;;;;
;DELFT;2614HJ;13;9;0;;;;;
;DELFT;2614HN;12;9;0;;;;;
;DELFT;2614HP;13;9;0;;;;;
;DELFT;2614HS;16;9;1;;;;;
;DELFT;2614HV;21;17;0;;;;;
;DELFT;2614HX;34;24;0;;;;;
;DELFT;2614HZ;34;19;0;;;;;
;DELFT;2614JC;27;18;1;;;;;
;DELFT;2614JD;24;14;0;;;;;
;DELFT;2614JG;40;30;0;;;;;
;DELFT;2614JK;82;1;0;;;;;
;DELFT;2614JL;63;0;0;;;;;
;DELFT;2614JW;11;3;1;;;;;
;DELFT;2614KH;59;6;0;;;;;
;DELFT;2614KJ;22;9;0;;;;;
;DELFT;2614KL;21;10;0;;;;;
;DELFT;2614LC;32;19;2;;;;;
;DELFT;2614LD;29;21;2;;;;;
;DELFT;2614LE;29;21;0;;;;;
;DELFT;2614LG;56;19;2;;;;;
;DELFT;2614LH;20;8;0;;;;;
;DELFT;2614LJ;47;30;4;;;;;
;DELFT;2614LK;47;28;3;;;;;
;DELFT;2614LL;10;4;0;;;;;
;DELFT;2614LM;10;8;0;;;;;
;DELFT;2614LR;14;10;0;;;;;
;DELFT;2614LT;21;16;0;;;;;
;DELFT;2614LX;69;45;1;;;;;
;DELFT;2614MA;48;11;1;;;;;
;DELFT;2614MB;38;21;0;;;;;
;DELFT;2614ME;16;3;0;;;;;
;DELFT;2614MH;39;13;0;;;;;
;DELFT;2614MN;33;20;0;;;;;
;DELFT;2614MP;4;0;0;;;;;
;DELFT;2614MS;51;22;2;;;;;
;DELFT;2614MV;61;20;0;;;;;
;DELFT;2614MZ;9;1;0;;;;;
;DELFT;2614NB;14;0;0;;;;;
;DELFT;2614SB;29;10;1;;;;;
;DELFT;2614SE;8;2;0;;;;;
;DELFT;2614SH;15;5;3;;;;;
;DELFT;2614SN;27;7;2;;;;;
;DELFT;2614SP;14;4;0;;;;;
;DELFT;2614SX;17;11;0;;;;;
;DELFT;2614SZ;36;13;1;;;;;
;DELFT;2614TB;49;33;4;;;;;
;DELFT;2614TC;50;34;0;;;;;
;DELFT;2614TE;60;41;0;;;;;
;DELFT;2614TH;10;5;0;;;;;
;DELFT;2614TJ;10;5;2;;;;;
;DELFT;2614TL;10;6;1;;;;;
;DELFT;2614TP;10;7;0;;;;;
;DELFT;2614TS;49;39;1;;;;;
;DELFT;2614TX;38;27;1;;;;;
;DELFT;2614VC;18;12;1;;;;;
;DELFT;2614VD;41;26;2;;;;;
;DELFT;2614WB;10;7;0;;;;;
;DELFT;2614WC;17;10;0;;;;;
;DELFT;2614WE;12;10;0;;;;;
;DELFT;2614WH;12;9;0;;;;;
;DELFT;2614WJ;43;21;1;;;;;
;DELFT;2614WL;33;23;1;;;;;
;DELFT;2614WP;20;14;0;;;;;
;DELFT;2614WS;49;25;0;;;;;
;DELFT;2614WX;18;12;1;;;;;
;DELFT;2614WZ;12;8;0;;;;;
;DELFT;2614XB;20;12;1;;;;;
;DELFT;2614XC;42;24;4;;;;;
;DELFT;2614XE;6;4;0;;;;;
;DELFT;2614XH;10;0;0;;;;;
;DELFT;2614XJ;11;4;1;;;;;
;DELFT;2614XN;20;9;0;;;;;
;DELFT;2614XP;24;10;0;;;;;
;DELFT;2614XS;21;11;0;;;;;
;DELFT;2616LM;3;1;1;;;;;
;DELFT;2616LR;3;5;0;;;;;
;DELFT;2616LZ;31;0;7;;;;;
;DELFT;2622AB;5;5;0;;;;;
;DELFT;2622AD;18;7;0;;;;;
;DELFT;2622AN;12;8;0;;;;;
